id,season,Venue_Id,date,Match_Type_Id,player_of_match,Team1_Id,Team2_Id,Toss_Winner_Team_Id,toss_decision,Match_Winner_Team_Id,result,result_margin,target_runs,target_overs,super_over,method,Umpire1_Id,Umpire2_Id
392199,2009,16,4/29/2009,5,MV Boucher,12,7,7,bat,12,wickets,5,140,20,N,NA,38,65
392200,2009,16,4/29/2009,5,KC Sangakkara,5,9,5,bat,5,runs,3,120,20,N,NA,38,61
392201,2009,7,4/30/2009,5,DP Nannes,2,3,3,field,3,wickets,6,149,20,N,NA,22,8
392202,2009,7,4/30/2009,5,SK Raina,1,11,11,field,1,runs,38,165,20,N,NA,22,49
392203,2009,17,5/1/2009,5,JP Duminy,7,9,9,bat,9,runs,9,149,20,N,NA,36,60
392204,2009,16,5/1/2009,5,Yuvraj Singh,12,5,12,bat,12,runs,8,146,20,N,NA,25,55
392205,2009,35,5/2/2009,5,YK Pathan,2,11,2,bat,11,wickets,3,142,20,N,NA,53,13
392206,2009,22,5/2/2009,5,SB Jakati,1,3,3,field,1,runs,18,164,20,N,NA,20,49
392207,2009,35,5/3/2009,5,DPMD Jayawardene,5,7,7,bat,5,wickets,6,154,20,N,NA,53,38
392208,2009,22,5/3/2009,5,JH Kallis,12,9,9,bat,12,wickets,9,150,20,N,NA,49,65
392209,2009,17,5/4/2009,5,MS Dhoni,1,2,1,bat,1,runs,78,179,20,N,NA,15,36
392210,2009,16,5/5/2009,5,GC Smith,5,11,5,field,11,runs,78,212,20,N,NA,62,28
392211,2009,16,5/5/2009,5,G Gambhir,3,7,7,bat,3,wickets,9,155,20,N,NA,22,28
392212,2009,7,5/6/2009,5,RG Sharma,2,9,2,bat,2,runs,19,146,20,N,NA,38,25
392213,2009,7,5/7/2009,5,A Singh,12,11,11,field,11,wickets,7,106,20,N,NA,32,20
392214,2009,7,5/7/2009,5,ML Hayden,1,5,1,bat,1,runs,12,187,18,N,D/L,20,65
392215,2009,17,5/8/2009,5,A Nehra,3,9,9,bat,3,wickets,7,117,20,N,NA,36,60
392216,2009,24,5/9/2009,5,DPMD Jayawardene,2,5,5,field,5,wickets,3,169,20,N,NA,22,8
392217,2009,24,5/9/2009,5,S Badrinath,1,11,11,bat,1,wickets,7,141,20,N,NA,22,25
392218,2009,35,5/10/2009,5,JP Duminy,12,9,9,bat,9,runs,16,158,20,N,NA,15,13
392219,2009,22,5/10/2009,5,A Mishra,3,7,3,field,3,wickets,7,124,20,N,NA,61,48
392220,2009,24,5/11/2009,5,DR Smith,2,11,2,bat,2,runs,53,167,20,N,NA,22,25
392221,2009,7,5/12/2009,5,LRPL Taylor,12,7,12,field,12,wickets,6,174,20,N,NA,36,62
392222,2009,7,5/12/2009,5,Harbhajan Singh,5,9,5,bat,9,wickets,8,120,20,N,NA,62,49
392223,2009,16,5/13/2009,5,R Bhatia,2,3,2,field,3,runs,12,174,20,N,NA,20,61
392224,2009,16,5/14/2009,5,LRPL Taylor,12,1,1,bat,12,wickets,2,130,20,N,NA,15,20
392225,2009,16,5/14/2009,5,SK Warne,9,11,11,bat,11,runs,2,146,20,N,NA,15,20
392226,2009,5,5/15/2009,5,B Lee,3,5,5,field,5,wickets,6,121,20,N,NA,25,28
392227,2009,35,5/16/2009,5,ML Hayden,1,9,9,bat,1,wickets,7,148,20,N,NA,60,59
392228,2009,22,5/16/2009,5,RG Sharma,2,7,2,field,2,wickets,6,161,20,N,NA,49,55
392229,2009,22,5/17/2009,5,Yuvraj Singh,2,5,2,field,5,runs,1,135,20,N,NA,55,48
392230,2009,5,5/17/2009,5,AB de Villiers,3,11,3,bat,3,runs,14,151,20,N,NA,62,28
392231,2009,7,5/18/2009,5,BJ Hodge,1,7,1,bat,7,wickets,7,189,20,N,NA,59,48
392232,2009,22,5/19/2009,5,JH Kallis,12,3,3,bat,12,wickets,7,135,20,N,NA,28,48
392233,2009,16,5/20/2009,5,LR Shukla,7,11,7,field,7,wickets,4,102,20,N,NA,13,59
392234,2009,16,5/20/2009,5,M Muralitharan,1,5,1,bat,1,runs,24,117,20,N,NA,13,59
392235,2009,7,5/21/2009,5,V Sehwag,3,9,3,field,3,wickets,4,166,20,N,NA,28,55
392236,2009,7,5/21/2009,5,MK Pandey,12,2,12,bat,12,runs,12,171,20,N,NA,28,55
392237,2009,7,5/22/2009,8,AC Gilchrist,3,2,2,field,2,wickets,6,154,20,N,NA,15,20
392238,2009,22,5/23/2009,8,MK Pandey,12,1,12,field,12,wickets,6,147,20,N,NA,49,59
392239,2009,22,5/24/2009,4,A Kumble,12,2,12,field,2,runs,6,144,20,N,NA,49,59
419106,2010,30,3/12/2010,5,AD Mathews,2,7,2,field,7,runs,11,162,20,N,NA,49,48
419107,2010,29,3/13/2010,5,YK Pathan,9,11,9,bat,9,runs,4,213,20,N,NA,49,48
419108,2010,9,3/13/2010,5,G Gambhir,5,3,3,field,3,wickets,5,143,20,N,NA,15,55
419109,2010,26,3/14/2010,5,MK Tiwary,7,12,7,field,7,wickets,7,136,20,N,NA,25,8
419110,2010,10,3/14/2010,5,WPUJC Vaas,1,2,2,bat,2,runs,31,191,20,N,NA,32,20
419111,2010,3,3/15/2010,5,V Sehwag,11,3,3,field,3,wickets,6,142,20,N,NA,13,49
419112,2010,4,3/16/2010,5,JH Kallis,12,5,5,bat,12,wickets,8,204,20,N,NA,54,20
419113,2010,26,3/16/2010,5,MS Dhoni,7,1,1,bat,1,runs,55,165,20,N,NA,25,8
419114,2010,13,3/17/2010,5,SR Tendulkar,3,9,3,field,9,runs,98,219,20,N,NA,15,60
419115,2010,4,3/18/2010,5,JH Kallis,12,11,12,field,12,wickets,10,93,20,N,NA,32,20
419116,2010,13,3/19/2010,5,ML Hayden,3,1,3,bat,1,wickets,5,186,20,N,NA,15,60
419117,2010,11,3/19/2010,5,A Symonds,2,5,5,field,2,runs,6,171,20,N,NA,12,36
419118,2010,3,3/20/2010,5,AA Jhunjhunwala,11,7,11,bat,11,runs,34,169,20,N,NA,49,48
419119,2010,29,3/20/2010,5,JH Kallis,9,12,9,bat,12,wickets,7,152,20,N,NA,25,62
419120,2010,11,3/21/2010,5,A Symonds,2,3,2,bat,2,runs,10,172,20,N,NA,12,36
419121,2010,10,3/21/2010,5,J Theron,1,5,1,field,5,tie,NA,137,20,Y,NA,32,20
419122,2010,29,3/22/2010,5,SR Tendulkar,9,7,7,bat,9,wickets,7,156,20,N,NA,62,59
419123,2010,4,3/23/2010,5,RV Uthappa,12,1,1,field,12,runs,36,172,20,N,NA,49,48
419124,2010,9,3/24/2010,5,AC Voges,5,11,5,field,11,runs,31,184,20,N,NA,15,60
419125,2010,29,3/25/2010,5,SR Tendulkar,1,9,9,field,9,wickets,5,181,20,N,NA,8,12
419128,2010,4,3/25/2010,5,KM Jadhav,12,3,12,field,3,runs,17,184,20,N,NA,13,49
419126,2010,3,3/26/2010,5,YK Pathan,11,2,2,bat,11,wickets,8,149,20,N,NA,25,59
419127,2010,9,3/27/2010,5,MK Tiwary,5,7,7,bat,7,runs,39,184,20,N,NA,15,55
419129,2010,3,3/28/2010,5,NV Ojha,11,1,11,bat,11,runs,17,178,20,N,NA,62,59
419130,2010,30,3/28/2010,5,Harbhajan Singh,2,9,2,field,9,runs,41,173,20,N,NA,54,32
419131,2010,13,3/29/2010,5,DA Warner,3,7,3,bat,3,runs,40,178,20,N,NA,62,59
419132,2010,29,3/30/2010,5,SL Malinga,9,5,9,field,9,wickets,4,164,20,N,NA,15,60
419133,2010,10,3/31/2010,5,M Vijay,1,12,12,bat,1,wickets,5,162,20,N,NA,13,49
419134,2010,13,3/31/2010,5,KD Karthik,3,11,3,bat,3,runs,67,189,20,N,NA,25,59
419135,2010,26,4/1/2010,5,SC Ganguly,7,2,7,bat,7,runs,24,182,20,N,NA,32,20
419136,2010,9,4/2/2010,5,KP Pietersen,5,12,5,bat,12,wickets,6,182,20,N,NA,12,36
419137,2010,10,4/3/2010,5,M Vijay,1,11,1,bat,1,runs,23,247,20,N,NA,49,48
419138,2010,29,4/3/2010,5,AT Rayudu,9,2,9,bat,9,runs,63,179,20,N,NA,15,55
419139,2010,26,4/4/2010,5,DPMD Jayawardene,7,5,7,bat,5,wickets,8,201,20,N,NA,53,20
419140,2010,13,4/4/2010,5,PD Collingwood,3,12,3,bat,3,runs,37,185,20,N,NA,12,36
419141,2010,33,4/5/2010,5,SK Warne,2,11,11,bat,11,runs,2,160,20,N,NA,25,59
419142,2010,10,4/6/2010,5,SK Raina,1,9,1,bat,1,runs,24,166,20,N,NA,53,20
419143,2010,21,4/7/2010,5,MJ Lumb,11,5,5,bat,11,wickets,9,154,20,N,NA,55,60
419144,2010,26,4/7/2010,5,SC Ganguly,7,3,7,bat,7,runs,14,182,20,N,NA,13,49
419145,2010,4,4/8/2010,5,TL Suman,12,2,2,field,2,wickets,7,185,20,N,NA,53,20
419146,2010,9,4/9/2010,5,KC Sangakkara,5,9,9,bat,5,wickets,6,155,20,N,NA,36,8
419147,2010,33,4/10/2010,5,RJ Harris,2,1,1,bat,2,wickets,6,139,20,N,NA,25,59
419148,2010,4,4/10/2010,5,R Vinay Kumar,12,7,12,field,12,wickets,7,161,20,N,NA,32,20
419149,2010,13,4/11/2010,5,PP Chawla,3,5,3,bat,5,wickets,7,112,20,N,NA,12,8
419150,2010,21,4/11/2010,5,SR Tendulkar,11,9,11,field,9,runs,37,175,20,N,NA,15,60
419151,2010,33,4/12/2010,5,Harmeet Singh,2,12,12,field,2,runs,13,152,20,N,NA,49,48
419152,2010,29,4/13/2010,5,KA Pollard,9,3,9,bat,9,runs,39,184,20,N,NA,53,20
419153,2010,10,4/13/2010,5,R Ashwin,1,7,7,bat,1,wickets,9,140,20,N,NA,62,59
419154,2010,21,4/14/2010,5,KP Pietersen,11,12,11,bat,12,wickets,5,131,20,N,NA,15,55
